content_id,type,slug,proposed_target_agency,proposed_jurisdiction,confidence,reason
audit_case:34,AuditCase,private-contract-no-reason,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:35,AuditCase,private-contract-price-no-negotiation,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:36,AuditCase,bid-evaluation-criteria-missing,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:37,AuditCase,bid-qualification-review-omitted,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:38,AuditCase,bid-bond-not-submitted,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:39,AuditCase,bid-two-envelope-violation,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:40,AuditCase,contract-missing-special-terms,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:41,AuditCase,contract-verbal-agreement,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:42,AuditCase,contract-wrong-party,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:43,AuditCase,supervision-absent,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:44,AuditCase,progress-payment-over-claimed,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:45,AuditCase,substitution-material-unapproved,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:46,AuditCase,safety-violation-construction,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:47,AuditCase,payment-no-deduction-penalty,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:48,AuditCase,overpayment-not-recovered,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:49,AuditCase,payment-without-completion,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:50,AuditCase,subcontract-below-cost,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:51,AuditCase,subcontract-unauthorized-re-sub,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:52,AuditCase,subcontract-payment-delay,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:53,AuditCase,budget-unauthorized-transfer,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방재정법)
audit_case:54,AuditCase,property-disposal-no-appraisal,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:55,AuditCase,revenue-collection-delay,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방재정법)
audit_case:56,AuditCase,goe-2021-management-allowance-mispayment,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:57,AuditCase,goe-2021-suspension-pay-deduction,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:58,AuditCase,goe-2021-performance-bonus-mispayment,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:59,AuditCase,goe-2021-tenure-allowance-mispayment,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:60,AuditCase,goe-2021-special-duty-allowance-mispayment,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:61,AuditCase,goe-2021-family-allowance-misdeclaration,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:62,AuditCase,goe-2021-overtime-allowance-mispayment,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:63,AuditCase,goe-2021-annual-leave-compensation-mispayment,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:64,AuditCase,goe-2021-supplies-management-neglect,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:65,AuditCase,goe-2021-disposal-procedure-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:66,AuditCase,goe-2021-vehicle-management-failure,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:67,AuditCase,goe-2021-school-facility-temp-use-permit,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:68,AuditCase,goe-2021-public-property-occupation-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:69,AuditCase,goe-2021-vending-machine-fee-miscalculation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:70,AuditCase,goe-2021-temporary-building-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:71,AuditCase,goe-2021-building-registration-delay,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:72,AuditCase,goe-2021-foreign-teacher-housing-deposit,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:73,AuditCase,goe-2021-budget-formation-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:74,AuditCase,goe-2021-deemed-budget-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:75,AuditCase,goe-2021-budget-transfer-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:76,AuditCase,goe-2021-explicit-carryover-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:77,AuditCase,goe-2021-bad-debt-write-off-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:78,AuditCase,goe-2021-development-fund-handover,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:79,AuditCase,goe-2021-development-fund-misuse,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:80,AuditCase,goe-2021-development-fund-misclassified,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:81,AuditCase,goe-2021-suspense-cash-management,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:82,AuditCase,goe-2021-suspense-cash-single-approval,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:83,AuditCase,goe-2021-retirement-pension-mismanagement,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:84,AuditCase,goe-2021-suspense-cash-embezzlement,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:85,AuditCase,goe-2021-budget-account-mixed-execution,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:86,AuditCase,goe-2021-fiscal-year-independence-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:87,AuditCase,goe-2021-improper-payee-personal-card,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:88,AuditCase,goe-2021-improper-payee-cleaning-service,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:89,AuditCase,goe-2021-payment-processing-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:90,AuditCase,goe-2021-accounting-disorder-construction,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:91,AuditCase,goe-2021-condolence-money-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:92,AuditCase,goe-2021-business-promotion-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:93,AuditCase,goe-2021-travel-expense-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:94,AuditCase,goe-2021-clothing-expense-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:95,AuditCase,goe-2021-instructor-allowance-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:96,AuditCase,goe-2021-misc-allowance-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:97,AuditCase,goe-2021-gift-voucher-management,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:98,AuditCase,goe-2021-credit-card-usage-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:99,AuditCase,goe-2021-credit-card-payment-account,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:100,AuditCase,goe-2021-credit-card-self-inspection,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:101,AuditCase,goe-2021-beneficiary-cost-settlement,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:102,AuditCase,goe-2021-beneficiary-cost-direct-use,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:103,AuditCase,goe-2021-reserve-fund-improper,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:104,AuditCase,goe-2021-contract-review-omission,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:105,AuditCase,goe-2021-daily-audit-89-cases,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:106,AuditCase,goe-2021-private-contract-s2b-mismatch,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:107,AuditCase,goe-2021-private-contract-2bid-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:108,AuditCase,goe-2021-split-private-contracts,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:109,AuditCase,goe-2021-split-after-school-program,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:110,AuditCase,goe-2021-split-care-trip-copier-paint,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:111,AuditCase,goe-2021-failed-bid-private-contract,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:112,AuditCase,goe-2021-contract-method-2stage-bidding,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:113,AuditCase,goe-2021-football-team-extension-contract,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:114,AuditCase,goe-2021-specialized-construction-license,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:115,AuditCase,goe-2021-supplies-joint-purchase,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:116,AuditCase,goe-2021-supplies-selection-committee,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:117,AuditCase,goe-2021-bid-announcement-period,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:122,AuditCase,sen-2024-school-s-academic-eval-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:123,AuditCase,sen-2024-school-s-school-record-correction,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:124,AuditCase,sen-2024-school-s-temp-building-unauthorized,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:125,AuditCase,sen-2024-school-s-construction-contract-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:126,AuditCase,contract-guarantee-not-collected,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:127,AuditCase,improper-advance-payment,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:128,AuditCase,penalty-reduction-unauthorized,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:129,AuditCase,performance-guarantee-waiver-loss,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:130,AuditCase,private-contract-split-over-limit,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:131,AuditCase,public-procurement-mandatory-bid-bypassed,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:132,AuditCase,qualification-failure-wrong-award,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:133,AuditCase,quote-collection-same-vendor-double,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:134,AuditCase,single-quote-exceeds-limit,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:135,AuditCase,small-amount-intentional-split,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:136,AuditCase,spec-price-integration-violation,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:137,AuditCase,split-contract-to-avoid-bidding,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:138,AuditCase,split-order-monthly-to-avoid-bidding,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:139,AuditCase,unit-price-contract-quantity-exceeded,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:140,AuditCase,contract-period-extension-illegal,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:141,AuditCase,sen-2025-school-s-special-leave-evidence,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:142,AuditCase,sen-2025-school-d-sick-leave-certificate,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:143,AuditCase,sen-2025-school-y-vehicle-leave-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:144,AuditCase,sen-2025-school-i-temp-teacher-screening,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:145,AuditCase,sen-2025-school-y-handover,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:146,AuditCase,sen-2025-school-v-budget-pre-execution,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:147,AuditCase,sen-2025-foundation-y-audit-omission,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:148,AuditCase,sen-2025-school-y-school-council-online,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:149,AuditCase,sen-2025-school-c-school-council-composition,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:150,AuditCase,sen-2025-school-c-development-fund-misuse,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:151,AuditCase,sen-2025-school-s-service-contract-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:152,AuditCase,sen-2025-school-s-supply-direct-prod-cert,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:153,AuditCase,sen-2025-school-d-split-private-contract,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:154,AuditCase,sen-2025-school-i-split-private-disability,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:155,AuditCase,sen-2025-school-c-long-term-contract-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:156,AuditCase,sen-2025-school-v-facility-split-private,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:157,AuditCase,sen-2025-school-c-facility-design-document,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:158,AuditCase,sen-2025-school-c-electrical-separate-order,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:159,AuditCase,sen-2025-school-y-facility-multi-violation,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:160,AuditCase,sen-2025-school-s-disaster-prevention,PUBLIC_SCHOOL,EDUCATION,HIGH,sector=edu + org_type=school (기존 구조적 분류값)
audit_case:161,AuditCase,silmu-2026-position-suspension-incompetence-dismissal,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:162,AuditCase,silmu-2026-position-suspension-discipline-pending,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
