content_id,slug,old_source,proposed_source_type,proposed_source_agency,proposed_source_url,proposed_verification_status,confidence,reason,requires_review
audit_case:26,estimated-price-no-research,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제7조, 제9조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:27,design-change-unapproved,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제74조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:28,price-escalation-below-threshold,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제73조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:29,joint-contract-nominal,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:30,e-bidding-offline-processed,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:31,contract-termination-no-notice,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:32,private-contract-purpose-mismatch,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제25조 제1항 제4호. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:33,private-contract-retroactive,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:34,private-contract-no-reason,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제25조, 입찰 및 계약집행기준. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:35,private-contract-price-no-negotiation,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제25조, 제30조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:36,bid-evaluation-criteria-missing,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제42조, 적격심사기준. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:37,bid-qualification-review-omitted,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제13조, 제42조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:38,bid-bond-not-submitted,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제37조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:39,bid-two-envelope-violation,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:40,contract-missing-special-terms,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제49조, 입찰 및 계약집행기준. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:41,contract-verbal-agreement,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제14조, 시행령 제74조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:42,contract-wrong-party,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제13조, 건설산업기본법 제9조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:43,supervision-absent,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제63조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:44,progress-payment-over-claimed,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제66조, 제67조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:45,substitution-material-unapproved,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제63조, 입찰 및 계약집행기준. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:46,safety-violation-construction,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:47,payment-no-deduction-penalty,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제30조, 시행령 제90조, 시행규칙 제75조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:48,overpayment-not-recovered,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제67조, 지방회계법 제49조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:49,payment-without-completion,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제17조, 시행령 제66조, 제67조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:50,subcontract-below-cost,,UNVERIFIED,,,UNVERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:51,subcontract-unauthorized-re-sub,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:52,subcontract-payment-delay,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:53,budget-unauthorized-transfer,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:54,property-disposal-no-appraisal,,UNVERIFIED,,,UNVERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:55,revenue-collection-delay,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:56,goe-2021-management-allowance-mispayment,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:57,goe-2021-suspension-pay-deduction,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:58,goe-2021-performance-bonus-mispayment,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:59,goe-2021-tenure-allowance-mispayment,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:60,goe-2021-special-duty-allowance-mispayment,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:61,goe-2021-family-allowance-misdeclaration,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:62,goe-2021-overtime-allowance-mispayment,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:63,goe-2021-annual-leave-compensation-mispayment,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:64,goe-2021-supplies-management-neglect,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:65,goe-2021-disposal-procedure-violation,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:66,goe-2021-vehicle-management-failure,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:67,goe-2021-school-facility-temp-use-permit,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:68,goe-2021-public-property-occupation-violation,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:69,goe-2021-vending-machine-fee-miscalculation,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:70,goe-2021-temporary-building-violation,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:71,goe-2021-building-registration-delay,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:72,goe-2021-foreign-teacher-housing-deposit,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:73,goe-2021-budget-formation-violation,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:74,goe-2021-deemed-budget-violation,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:75,goe-2021-budget-transfer-violation,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:76,goe-2021-explicit-carryover-violation,,ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:77,goe-2021-bad-debt-write-off-violation,GOE 2021 경기교육청 감사보고서 (조문번호 명시 없음 — 차후 정밀화 backlog),ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:78,goe-2021-development-fund-handover,GOE 2021 경기교육청 감사보고서 (조문번호 명시 없음 — 차후 정밀화 backlog),ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:79,goe-2021-development-fund-misuse,GOE 2021 경기교육청 감사보고서 (조문번호 명시 없음 — 차후 정밀화 backlog),ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:80,goe-2021-development-fund-misclassified,GOE 2021 경기교육청 감사보고서 (조문번호 명시 없음 — 차후 정밀화 backlog),ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:81,goe-2021-suspense-cash-management,GOE 2021 경기교육청 감사보고서 (조문번호 명시 없음 — 차후 정밀화 backlog),ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:82,goe-2021-suspense-cash-single-approval,GOE 2021 경기교육청 감사보고서 (조문번호 명시 없음 — 차후 정밀화 backlog),ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
audit_case:83,goe-2021-retirement-pension-mismanagement,GOE 2021 경기교육청 감사보고서 (조문번호 명시 없음 — 차후 정밀화 backlog),ACTUAL_AUDIT,경기도교육청 감사관실,https://www.goe.go.kr/resource/old/BBSMSTR_000000000102/BBS_202111190247253801.pdf,OFFICIAL_SOURCE_VERIFIED,HIGH,source jsonb 에 발행기관·문서명·원문 URL·페이지가 모두 존재 (외부 조회 없이 확인 가능),false
